'7', '2015-04-05 14:50:00', 'Adelaide Oval', 'R1', '1', 'Adelaide', '21', '14', '140', 'North Melbourne', '9', '9', '63', '77'
'15', '2015-04-11 19:20:00', 'Adelaide Oval', 'R2', '2', 'Port Adelaide', '6', '8', '44', 'Sydney', '14', '8', '92', '-48'
'21', '2015-04-18 13:45:00', 'Adelaide Oval', 'R3', '3', 'Adelaide', '12', '8', '80', 'Melbourne', '7', '13', '55', '25'
'32', '2015-04-25 18:45:00', 'Adelaide Oval', 'R4', '4', 'Port Adelaide', '15', '9', '99', 'Hawthorn', '13', '13', '91', '8'
'45', '2015-05-03 16:10:00', 'Adelaide Oval', 'R5', '5', 'Adelaide', '13', '13', '91', 'Port Adelaide', '18', '7', '115', '-24'
'54', '2015-05-10 16:10:00', 'Adelaide Oval', 'R6', '6', 'Port Adelaide', '10', '8', '68', 'West Coast', '11', '12', '78', '-10'
'56', '2015-05-16 13:15:00', 'Adelaide Oval', 'R7', '7', 'Adelaide', '18', '11', '119', 'St Kilda', '10', '13', '73', '46'
'72', '2015-05-24 16:10:00', 'Adelaide Oval', 'R8', '8', 'Port Adelaide', '5', '13', '43', 'Richmond', '11', '10', '76', '-33'
'78', '2015-05-30 19:20:00', 'Adelaide Oval', 'R9', '9', 'Adelaide', '7', '15', '57', 'Fremantle', '10', '8', '68', '-11'
'86', '2015-06-06 19:20:00', 'Adelaide Oval', 'R10', '10', 'Port Adelaide', '16', '4', '100', 'Footscray', '9', '8', '62', '38'
'91', '2015-06-12 19:20:00', 'Adelaide Oval', 'R11', '11', 'Port Adelaide', '11', '3', '69', 'Geelong', '14', '8', '92', '-23'
'97', '2015-06-18 19:20:00', 'Adelaide Oval', 'R12', '12', 'Adelaide', '12', '13', '85', 'Hawthorn', '17', '12', '114', '-29'
'117', '2015-07-09 19:20:00', 'Adelaide Oval', 'R15', '15', 'Port Adelaide', '9', '12', '66', 'Collingwood', '9', '9', '63', '3'
'133', '2015-07-19 14:50:00', 'Adelaide Oval', 'R16', '16', 'Port Adelaide', '17', '11', '113', 'Adelaide', '18', '8', '116', '-3'
'137', '2015-07-25 13:45:00', 'Adelaide Oval', 'R17', '17', 'Adelaide', '19', '11', '125', 'Gold Coast', '12', '8', '80', '45'
'150', '2015-08-02 12:40:00', 'Adelaide Oval', 'R18', '18', 'Port Adelaide', '17', '10', '112', 'St Kilda', '6', '13', '49', '63'
'153', '2015-08-07 19:20:00', 'Adelaide Oval', 'R19', '19', 'Adelaide', '11', '22', '88', 'Richmond', '8', '4', '52', '36'
'165', '2015-08-15 16:05:00', 'Adelaide Oval', 'R20', '20', 'Port Adelaide', '16', '15', '111', 'GWS', '13', '12', '90', '21'
'176', '2015-08-22 19:20:00', 'Adelaide Oval', 'R21', '21', 'Adelaide', '20', '11', '131', 'Brisbane Lions', '6', '8', '44', '87'
'186', '2015-08-30 12:40:00', 'Adelaide Oval', 'R22', '22', 'Adelaide', '19', '12', '126', 'West Coast', '10', '9', '69', '57'
'192', '2015-09-05 15:20:00', 'Adelaide Oval', 'R23', '23', 'Port Adelaide', '18', '14', '122', 'Fremantle', '8', '5', '53', '69'
'213', '2016-03-27 14:50:00', 'Adelaide Oval', 'R1', '1', 'Port Adelaide', '20', '13', '133', 'St Kilda', '15', '10', '100', '33'
'217', '2016-04-02 13:15:00', 'Adelaide Oval', 'R2', '2', 'Adelaide', '22', '12', '144', 'Port Adelaide', '11', '20', '86', '58'
'225', '2016-04-08 19:20:00', 'Adelaide Oval', 'R3', '3', 'Port Adelaide', '17', '10', '112', 'Essendon', '7', '9', '51', '61'
'239', '2016-04-16 19:25:00', 'Adelaide Oval', 'R4', '4', 'Adelaide', '16', '17', '113', 'Sydney', '15', '13', '103', '10'
'247', '2016-04-23 19:25:00', 'Adelaide Oval', 'R5', '5', 'Port Adelaide', '8', '11', '59', 'Geelong', '16', '11', '107', '-48'
'254', '2016-04-30 13:45:00', 'Adelaide Oval', 'R6', '6', 'Adelaide', '14', '13', '97', 'Fremantle', '8', '16', '64', '33'
'269', '2016-05-08 16:10:00', 'Adelaide Oval', 'R7', '7', 'Port Adelaide', '21', '10', '136', 'Brisbane Lions', '7', '17', '59', '77'
'270', '2016-05-13 19:20:00', 'Adelaide Oval', 'R8', '8', 'Adelaide', '11', '6', '72', 'Geelong', '13', '20', '98', '-26'
'282', '2016-05-21 16:05:00', 'Adelaide Oval', 'R9', '9', 'Port Adelaide', '13', '8', '86', 'West Coast', '14', '10', '94', '-8'
'293', '2016-05-28 19:25:00', 'Adelaide Oval', 'R10', '10', 'Adelaide', '15', '17', '107', 'GWS', '13', '7', '85', '22'
'305', '2016-06-05 16:10:00', 'Adelaide Oval', 'R11', '11', 'Adelaide', '19', '19', '133', 'St Kilda', '6', '9', '45', '88'
'307', '2016-06-11 13:10:00', 'Adelaide Oval', 'R12', '12', 'Port Adelaide', '14', '13', '97', 'Footscray', '15', '10', '100', '-3'
'321', '2016-06-23 19:20:00', 'Adelaide Oval', 'R14', '14', 'Adelaide', '12', '28', '100', 'North Melbourne', '10', '7', '67', '33'
'328', '2016-07-01 19:20:00', 'Adelaide Oval', 'R15', '15', 'Port Adelaide', '14', '10', '94', 'Richmond', '8', '8', '56', '38'
'333', '2016-07-07 19:20:00', 'Adelaide Oval', 'R16', '16', 'Port Adelaide', '12', '7', '79', 'Hawthorn', '15', '11', '101', '-22'
'347', '2016-07-16 19:25:00', 'Adelaide Oval', 'R17', '17', 'Adelaide', '14', '13', '97', 'Collingwood', '10', '9', '69', '28'
'359', '2016-07-24 16:10:00', 'Adelaide Oval', 'R18', '18', 'Port Adelaide', '9', '6', '60', 'GWS', '11', '13', '79', '-19'
'368', '2016-07-31 16:10:00', 'Adelaide Oval', 'R19', '19', 'Adelaide', '22', '11', '143', 'Essendon', '9', '7', '61', '82'
'374', '2016-08-06 19:25:00', 'Adelaide Oval', 'R20', '20', 'Adelaide', '27', '15', '177', 'Brisbane Lions', '6', '3', '39', '138'
'383', '2016-08-13 19:25:00', 'Adelaide Oval', 'R21', '21', 'Port Adelaide', '8', '6', '54', 'Melbourne', '13', '16', '94', '-40'
'392', '2016-08-20 19:25:00', 'Adelaide Oval', 'R22', '22', 'Port Adelaide', '14', '10', '94', 'Adelaide', '15', '19', '109', '-15'
'396', '2016-08-26 19:40:00', 'Adelaide Oval', 'R23', '23', 'Adelaide', '10', '11', '71', 'West Coast', '14', '16', '100', '-29'
'408', '2016-09-10 19:10:00', 'Adelaide Oval', 'EF', '24', 'Adelaide', '21', '15', '141', 'North Melbourne', '12', '7', '79', '62'
'421', '2017-03-26 14:50:00', 'Adelaide Oval', 'R1', '1', 'Adelaide', '22', '15', '147', 'GWS', '14', '7', '91', '56'
'431', '2017-04-02 16:10:00', 'Adelaide Oval', 'R2', '2', 'Port Adelaide', '22', '13', '145', 'Fremantle', '8', '8', '56', '89'
'436', '2017-04-08 17:40:00', 'Adelaide Oval', 'R3', '3', 'Port Adelaide', '12', '11', '83', 'Adelaide', '15', '10', '100', '-17'
'446', '2017-04-15 19:25:00', 'Adelaide Oval', 'R4', '4', 'Adelaide', '24', '9', '153', 'Essendon', '13', '10', '88', '65'
