id,Date,Venue,Round,Round.Number,Home.Team,Home.Goals,Home.Behinds,Home.Points,Away.Team,Away.Goals,Away.Behinds,Away.Points,Margin
1,"2015-04-02 19:20:00",M.C.G.,R1,1,Carlton,11,12,78,Richmond,15,15,105,-27
2,"2015-04-04 13:40:00",M.C.G.,R1,1,Melbourne,17,13,115,"Gold Coast",13,11,89,26
3,"2015-04-04 16:35:00","Stadium Australia",R1,1,Sydney,10,12,72,Essendon,9,6,60,12
4,"2015-04-04 18:20:00",Gabba,R1,1,"Brisbane Lions",11,8,74,Collingwood,12,14,86,-12
5,"2015-04-04 19:20:00",Docklands,R1,1,Footscray,14,13,97,"West Coast",14,3,87,10
6,"2015-04-05 13:10:00",Docklands,R1,1,"St Kilda",11,12,78,GWS,12,15,87,-9
7,"2015-04-05 14:50:00","Adelaide Oval",R1,1,Adelaide,21,14,140,"North Melbourne",9,9,63,77
8,"2015-04-05 16:40:00",Subiaco,R1,1,Fremantle,11,9,75,"Port Adelaide",10,8,68,7
9,"2015-04-06 15:20:00",M.C.G.,R1,1,Hawthorn,17,21,123,Geelong,8,13,61,62
10,"2015-04-10 18:10:00",Subiaco,R2,2,"West Coast",20,11,131,Carlton,9,8,62,69
11,"2015-04-11 13:45:00",M.C.G.,R2,2,Richmond,9,12,66,Footscray,12,13,85,-19
12,"2015-04-11 14:10:00","Manuka Oval",R2,2,GWS,15,11,101,Melbourne,8,8,56,45
13,"2015-04-11 16:35:00",Docklands,R2,2,Collingwood,9,9,63,Adelaide,12,18,90,-27
14,"2015-04-11 19:10:00",Carrara,R2,2,"Gold Coast",10,16,76,"St Kilda",16,8,104,-28
15,"2015-04-11 19:20:00","Adelaide Oval",R2,2,"Port Adelaide",6,8,44,Sydney,14,8,92,-48
16,"2015-04-12 13:10:00","Kardinia Park",R2,2,Geelong,9,6,60,Fremantle,15,14,104,-44
17,"2015-04-12 15:20:00",M.C.G.,R2,2,Essendon,12,6,78,Hawthorn,11,10,76,2
18,"2015-04-12 16:40:00",Docklands,R2,2,"North Melbourne",20,13,133,"Brisbane Lions",7,9,51,82
19,"2015-04-17 19:50:00",M.C.G.,R3,3,Collingwood,21,14,140,"St Kilda",10,6,66,74
20,"2015-04-18 13:40:00",M.C.G.,R3,3,Carlton,11,18,84,Essendon,16,9,105,-21
21,"2015-04-18 13:45:00","Adelaide Oval",R3,3,Adelaide,12,8,80,Melbourne,7,13,55,25
22,"2015-04-18 16:35:00",S.C.G.,R3,3,Sydney,16,15,111,GWS,12,18,90,21
23,"2015-04-18 19:20:00",Docklands,R3,3,"North Melbourne",16,9,105,"Port Adelaide",17,11,113,-8
24,"2015-04-18 19:20:00",Gabba,R3,3,"Brisbane Lions",8,10,58,Richmond,21,11,137,-79
25,"2015-04-19 13:10:00","York Park",R3,3,Hawthorn,19,13,127,Footscray,8,9,57,70
26,"2015-04-19 14:40:00","Kardinia Park",R3,3,Geelong,16,9,105,"Gold Coast",13,18,96,9
27,"2015-04-19 15:20:00",Subiaco,R3,3,"West Coast",12,9,81,Fremantle,17,9,111,-30
28,"2015-04-24 19:50:00",M.C.G.,R4,4,Richmond,6,15,51,Melbourne,12,11,83,-32
29,"2015-04-25 13:10:00",Wellington,R4,4,"St Kilda",12,9,81,Carlton,18,13,121,-40
30,"2015-04-25 14:40:00",M.C.G.,R4,4,Essendon,6,13,49,Collingwood,9,15,69,-20
31,"2015-04-25 17:40:00","Manuka Oval",R4,4,GWS,16,23,119,"Gold Coast",7,11,53,66
32,"2015-04-25 18:45:00","Adelaide Oval",R4,4,"Port Adelaide",15,9,99,Hawthorn,13,13,91,8
33,"2015-04-25 19:10:00",Subiaco,R4,4,Fremantle,11,8,74,Sydney,8,12,60,14
34,"2015-04-26 13:10:00",Gabba,R4,4,"Brisbane Lions",9,11,65,"West Coast",17,16,118,-53
35,"2015-04-26 15:20:00","Kardinia Park",R4,4,Geelong,9,13,67,"North Melbourne",12,11,83,-16
36,"2015-04-26 16:40:00",Docklands,R4,4,Footscray,18,17,125,Adelaide,10,8,68,57
37,"2015-05-01 19:50:00",M.C.G.,R5,5,Carlton,6,9,45,Collingwood,18,12,120,-75
38,"2015-05-02 13:45:00",M.C.G.,R5,5,Richmond,11,10,76,Geelong,12,13,85,-9
39,"2015-05-02 14:10:00",S.C.G.,R5,5,Sydney,10,13,73,Footscray,11,11,77,-4
40,"2015-05-02 16:35:00",Carrara,R5,5,"Gold Coast",18,10,118,"Brisbane Lions",7,12,54,64
41,"2015-05-02 17:40:00",Docklands,R5,5,"North Melbourne",10,10,70,Hawthorn,19,16,130,-60
42,"2015-05-02 19:20:00",Subiaco,R5,5,"West Coast",18,12,120,GWS,4,9,33,87
43,"2015-05-03 13:10:00",M.C.G.,R5,5,Melbourne,6,14,50,Fremantle,18,10,118,-68
44,"2015-05-03 15:20:00",Docklands,R5,5,"St Kilda",11,14,80,Essendon,11,16,82,-2
45,"2015-05-03 16:10:00","Adelaide Oval",R5,5,Adelaide,13,13,91,"Port Adelaide",18,7,115,-24
46,"2015-05-08 19:50:00",M.C.G.,R6,6,Collingwood,8,11,59,Geelong,15,10,100,-41
47,"2015-05-09 13:45:00","Bellerive Oval",R6,6,"North Melbourne",16,13,109,Richmond,10,14,74,35
48,"2015-05-09 14:10:00",Docklands,R6,6,Footscray,13,9,87,"St Kilda",14,10,94,-7
49,"2015-05-09 16:35:00","Sydney Showground",R6,6,GWS,16,12,108,Hawthorn,14,14,98,10
50,"2015-05-09 17:10:00",Carrara,R6,6,"Gold Coast",11,12,78,Adelaide,18,11,119,-41
51,"2015-05-09 18:10:00",M.C.G.,R6,6,Melbourne,7,8,50,Sydney,12,16,88,-38
52,"2015-05-09 19:20:00",Subiaco,R6,6,Fremantle,12,8,80,Essendon,7,10,52,28
53,"2015-05-10 15:20:00",Docklands,R6,6,Carlton,11,9,75,"Brisbane Lions",12,12,84,-9
54,"2015-05-10 16:10:00","Adelaide Oval",R6,6,"Port Adelaide",10,8,68,"West Coast",11,12,78,-10
55,"2015-05-15 19:50:00",Docklands,R7,7,Essendon,12,10,82,"North Melbourne",13,15,93,-11
56,"2015-05-16 13:15:00","Adelaide Oval",R7,7,Adelaide,18,11,119,"St Kilda",10,13,73,46
57,"2015-05-16 14:10:00",M.C.G.,R7,7,Hawthorn,24,11,155,Melbourne,7,8,50,105
58,"2015-05-16 16:35:00",Docklands,R7,7,Carlton,9,3,57,GWS,19,21,135,-78
59,"2015-05-16 17:40:00","Stadium Australia",R7,7,Sydney,18,12,120,Geelong,11,11,77,43
60,"2015-05-16 19:20:00",Subiaco,R7,7,"West Coast",21,9,135,"Gold Coast",6,7,43,92
61,"2015-05-17 13:10:00",Docklands,R7,7,Footscray,14,4,88,Fremantle,15,11,101,-13
62,"2015-05-17 15:20:00",M.C.G.,R7,7,Richmond,16,9,105,Collingwood,15,10,100,5
