,date,lapTime,track,weather,temp,track_temp,humidity,air_pressure,wind_speed,wind_direction,rain
0,2009-03-29,88833.158,albert-park,sunny,21.0,27.0,65.0,1020.0,5.0,south,dry
1,2009-04-05,98636.611,sepang,"sunny, then rain",27.0,32.0,86.0,1006.0,5.0,turning,wet
2,2009-04-19,114742.65,shanghai,rain,20.0,18.0,90.0,1003.0,4.5,east,wet
3,2009-04-26,95438.9,sachir,sunny,36.0,49.0,18.0,1005.0,4.0,east,dry
4,2009-05-10,83960.5,catalunya,slightly cloudy,24.0,42.0,54.0,1000.0,2.0,southeast,dry
5,2009-05-24,76226.0,de-monaco,sunny,26.0,43.0,58.0,1020.0,1.5,east,dry
6,2009-06-07,88566.45,istanbul,sunny,32.0,48.0,31.0,997.0,4.5,northeast,dry
7,2009-06-21,81888.0,silverstone,cloudy,16.0,28.0,57.0,1007.0,3.5,northwest,dry
8,2009-07-26,82968.333,hungaroring,sunny,26.0,44.0,38.0,993.0,8.0,northwest,dry
9,2009-08-23,99649.4,valencia,sunny,31.0,48.0,56.0,1013.0,1.5,northeast,dry
10,2009-08-30,108118.25,de-spa,"dry, slightly cloudy",16.0,30.0,50.0,972.0,3.0,west,dry
11,2009-09-13,85626.263,monza,slightly cloudy,27.0,39.0,37.0,992.0,2.0,northwest,dry
12,2009-10-04,93699.789,fuji,sunny,26.0,38.0,43.0,1009.0,2.5,turning,dry
13,2009-10-18,74501.647,interlagos,slightly cloudy,26.0,35.0,69.0,924.0,5.0,turning,dry
14,2009-11-01,100965.2,abu-dhabi,"sunny, of course",30.0,32.0,46.0,1012.0,2.0,north,dry
15,2008-03-16,89100.529,albert-park,sunny,36.0,49.0,11.0,1014.0,3.5,north,dry
16,2008-03-23,96697.1,sepang,sunny,30.0,42.0,70.0,1003.0,3.0,south,dry
17,2008-04-06,94756.381,sachir,sunny,28.0,36.0,22.0,1012.0,5.0,north,dry
18,2008-04-27,83293.1,catalunya,sunny,23.0,37.0,35.0,1008.0,2.0,turning,dry
19,2008-05-11,87657.056,istanbul,sunny,18.0,32.0,54.0,1003.0,5.5,north,dry
20,2008-05-25,82668.2,de-monaco,rain,21.0,20.0,76.0,1015.0,2.0,northeast,wet
21,2008-06-08,78466.75,montreal,slightly cloudy,27.0,37.0,64.0,1005.0,7.0,west,dry
22,2008-06-22,77858.3,magny-cours,"cloudy, rain towards the end",25.0,27.0,72.0,993.0,1.5,southern,wet
23,2008-07-06,93756.167,silverstone,rain,17.0,18.0,74.0,992.0,5.5,southwest,wet
24,2008-08-03,82284.3,hungaroring,sunny,30.0,44.0,39.0,989.0,4.5,west,dry
25,2008-08-24,99780.842,valencia,sunny,28.0,44.0,66.0,1013.0,3.5,southwest,dry
26,2008-09-07,109801.65,de-spa,cloudy / rain,16.0,16.0,71.0,961.0,2.5,southwest,wet
27,2008-09-14,90809.9,monza,rain,14.0,16.0,84.0,991.0,1.5,east,wet
28,2008-10-12,79781.789,fuji,cloudy,16.0,22.0,60.0,950.0,2.5,east,dry
29,2008-10-19,100454.1,shanghai,cloudy,27.0,29.0,64.0,1016.0,2.5,northeast,dry
30,2008-11-02,74658.556,interlagos,"cloudy, occasional rain",27.0,26.0,62.0,924.0,3.5,west,wet
31,2007-03-18,87687.955,albert-park,sunny,21.0,40.0,52.0,1020.0,1.5,west,dry
32,2007-04-08,98274.286,sepang,sunny,34.0,52.0,59.0,1005.0,1.5,south,dry
33,2007-04-15,95435.2,sachir,"sun, windy",30.0,38.0,25.0,1015.0,3.0,north,dry
34,2007-05-13,84169.333,catalunya,sunny,28.0,46.0,40.0,998.0,2.0,south,dry
35,2007-05-27,76881.571,de-monaco,"dry, cloudy",26.0,34.0,53.0,1002.0,1.0,turning,dry
36,2007-06-10,78038.571,montreal,sunny,28.0,52.0,40.0,1016.0,2.0,east,dry
37,2007-06-17,74292.526,indianapolis,sunny,36.0,51.0,33.0,992.0,1.5,west,dry
38,2007-06-17,74292.526,austin,sunny,36.0,51.0,33.0,992.0,1.5,west,dry
39,2007-07-01,77158.105,magny-cours,dry,24.0,39.0,60.0,987.0,1.0,east,dry
40,2007-07-08,82858.727,silverstone,sunny,22.0,43.0,40.0,1000.0,1.0,southeast,dry
41,2007-07-22,111703.091,valencia,shower,19.0,27.0,59.0,944.0,4.5,west,wet
42,2007-08-05,81507.136,hungaroring,slightly cloudy,28.0,34.0,39.0,991.0,2.5,north,dry
43,2007-08-26,89113.136,istanbul,sunny,35.0,50.0,32.0,1001.0,1.5,turning,dry
44,2007-09-09,84490.762,monza,sunny,28.0,32.0,39.0,992.0,1.0,west,dry
45,2007-09-16,110049.571,de-spa,sunny,22.0,35.0,53.0,969.0,2.0,south,dry
46,2007-09-30,91908.045,fuji,rain,17.0,22.0,95.0,953.0,1.0,southwest,wet
47,2007-10-07,100751.545,shanghai,rain,29.0,30.0,83.0,1007.0,2.5,east,wet
48,2007-10-21,77622.136,interlagos,sunny,37.0,60.0,28.0,925.0,2.0,south,dry
49,2010-03-14,121779.435,sachir,sunny,35.0,44.0,5.0,1012.0,2.0,north,dry
50,2010-03-28,94827.25,albert-park,"cloudy, occasional rain",26.0,23.0,41.0,1008.0,2.0,west,wet
51,2010-04-04,100480.13,sepang,cloudy,29.0,40.0,63.0,1004.0,3.0,south,dry
52,2010-04-18,105329.35,shanghai,rain,20.0,20.0,66.0,1015.0,1.0,turning east,wet
53,2010-05-09,86650.364,catalunya,sunny,20.0,36.0,47.0,993.0,5.0,southwest,dry
54,2010-05-16,79924.826,de-monaco,sunny,22.0,36.0,42.0,1009.0,1.0,southeast,dry
55,2010-05-30,91018.042,istanbul,"friendly, short shower",28.0,42.0,49.0,999.0,3.0,north,wet
56,2010-06-13,79630.696,montreal,slightly cloudy,26.0,38.0,42.0,1011.0,3.0,northeast,dry
57,2010-06-27,100826.542,valencia,sunny,27.0,44.0,44.0,1018.0,1.5,southeast,dry
58,2010-07-11,94505.25,silverstone,sunny,22.0,36.0,44.0,997.0,5.0,west,dry
59,2010-08-01,85556.13,hungaroring,sunny,28.0,44.0,49.0,987.0,3.5,northwest,dry
60,2010-08-29,113446.696,de-spa,rainy,15.0,18.0,70.0,965.0,3.0,southwest,wet
61,2010-09-12,85915.0,monza,sunny,25.0,35.0,43.0,996.0,2.0,south,dry
62,2010-10-10,99509.579,fuji,slightly cloudy,26.0,34.0,50.0,1003.0,4.0,northwest,dry
63,2010-11-07,75554.25,interlagos,sunny,24.0,49.0,62.0,924.0,6.0,southeast,dry
64,2010-11-14,103330.0,abu-dhabi,sunny / clear,28.0,31.0,60.0,1013.0,4.0,north,dry
65,2011-03-27,91715.455,albert-park,slightly cloudy,17.0,20.0,61.0,1025.0,4.0,south,dry
66,2011-04-10,103287.292,sepang,"cloudy, occasional drizzle",28.0,30.0,84.0,1005.0,1.5,turning,wet
67,2011-04-17,102235.167,shanghai,cloudy,22.0,28.0,26.0,1006.0,1.0,west,dry
68,2011-05-08,91556.087,istanbul,slightly cloudy,16.0,33.0,44.0,1001.0,6.0,northeast,dry
69,2011-05-22,89270.083,catalunya,sunny,26.0,39.0,31.0,1006.0,1.5,southeast,dry
70,2011-05-29,79151.13,de-monaco,sunny,24.0,45.0,47.0,1018.0,1.5,east,dry
71,2011-06-12,83216.458,montreal,rain,18.0,16.0,88.0,1007.0,5.0,south,wet
