track,date,local_time,weather,temp,track_temp,humidity,air_pressure,wind_speed,wind_direction
monza,09. September 2007,14:00:00,sonnig,28,32,39,992,1,Westen
monza,14. September 2008,14:00:00,Regen,14,16,84,991,15,Osten
monza,13. September 2009,14:00:00,leicht bewölkt,27,39,37,992,2,Nordwesten
monza,12. September 2010,14:00:00,sonnig,25,35,43,996,2,Süden
monza,11. September 2011,14:00:00,sonnig,30,42,46,994,2,Süden
monza,09. September 2012,14:00:00,leicht bewölkt,28,40,33,995,15,Südwesten
monza,08. September 2013,14:00:00,stark bewölkt,26,32,58,996,3,Osten
monza,07. September 2014,14:00:00,leicht bewölkt,25,40,59,992,2,Südosten
monza,06. September 2015,14:00:00,leicht bewölkt,22,38,34,996,15,drehend
monza,04. September 2016,14:00:00,leicht bewölkt,29,37,48,994,15,nördlich
monza,03. September 2017,14:00:00,sonnig,25,37,26,989,06,Osten
monza,02. September 2018,15:10:00,stark bewölkt,22,32,61,995,25,Norden
monza,08. September 2019,15:10:00,leicht bewölkt,21,34,50,988,15,Nordosten
de-monaco,27. Mai 2007,14:00:00,"trocken, bewölkt",26,34,53,1002,1,drehend
de-monaco,25. Mai 2008,14:00:00,Regen,21,20,76,1015,2,Nordosten
de-monaco,24. Mai 2009,14:00:00,sonnig,26,43,58,1020,15,Osten
de-monaco,16. Mai 2010,14:00:00,sonnig,22,36,42,1009,1,Südosten
de-monaco,29. Mai 2011,14:00:00,sonnig,24,45,47,1018,15,Osten
de-monaco,27. Mai 2012,14:00:00,"bewölkt, gegen Ende Niesel",21,33,63,1016,15,Osten
de-monaco,26. Mai 2013,14:00:00,sonnig,19,40,36,1012,2,Osten
de-monaco,25. Mai 2014,14:00:00,bewölkt,20,29,47,1016,2,Südwesten
de-monaco,24. Mai 2015,14:00:00,leicht bewölkt,18,34,64,1014,15,Westen
de-monaco,29. Mai 2016,14:00:00,regnerisch,18,21,88,1008,2,nördlich
de-monaco,28. Mai 2017,14:00:00,sonnig,26,53,34,1020,1,Norden
de-monaco,27. Mai 2018,15:10:00,stark bewölkt,26,34,50,1015,1,drehend
de-monaco,26. Mai 2019,15:10:00,bewölkt,23,32,53,1011,10,drehend
silverstone,08. Juli 2007,13:00:00,sonnig,22,43,40,1000,1,Südost
silverstone,06. Juli 2008,13:00:00,Regen,17,18,74,992,55,Südwesten
silverstone,21. Juni 2009,13:00:00,bewölkt,16,28,57,1007,35,Nordwesten
silverstone,11. Juli 2010,13:00:00,sonnig,22,36,44,997,5,Westen
silverstone,10. Juli 2011,13:00:00,"nasse Strecke, bewölkt",20,24,56,1000,3,Südwesten
silverstone,08. Juli 2012,13:00:00,Trocken,20,32,60,989,32,Nordwest
silverstone,30. Juni 2013,13:00:00,freundlich,22,32,54,1002,5,Westen
silverstone,06. Juli 2014,13:00:00,leicht bewölkt,18,36,50,988,5,Osten
silverstone,05. Juli 2015,13:00:00,bewölkt/zeitweise Regen,18,28,58,998,25,Osten
silverstone,10. Juli 2016,13:00:00,bewölkt / Regen zu Beginn,19,25,72,987,35,südwestlich
silverstone,16. Juli 2017,13:00:00,bewölkt,12,30,68,1004,15,Westen
silverstone,08. Juli 2018,14:10:00,sonnig,26,50,40,1008,2,westlich drehend
silverstone,14. Juli 2019,14:10:00,stark bewölkt,18,30,62,1006,2,Südwesten
