time,temp,dew_point,humidity,wind_speed,wind_direction,grains
00:00:00,20,18,87,6,SW,89.2
01:00:00,20,18,88,5,SW,90.3
02:00:00,20,18,87,8,SW,89.2
03:00:00,20,17,84,6,SW,86.1
04:00:00,20,17,85,3,SW,87.1
05:00:00,19,17,85,3,S,84.2
06:00:00,19,17,84,3,SE,83.1
07:00:00,19,17,86,3,SE,85.1
08:00:00,19,17,85,0,SE,84.1
09:00:00,20,16,78,5,SE,79.8
10:00:00,21,16,76,6,SE,80.4
11:00:00,22,17,73,5,SE,82.7
12:00:00,23,17,69,5,SE,83.7
13:00:00,23,17,67,6,SW,84.2
14:00:00,24,17,66,10,SW,85.8
15:00:00,24,17,65,10,SW,87.5
16:00:00,25,18,65,8,SW,90.6
17:00:00,24,18,68,10,SW,91.7
18:00:00,24,18,71,10,SW,92.6
19:00:00,23,18,76,8,SW,92.7
20:00:00,22,19,82,2,SW,96.8
21:00:00,21,18,84,2,SE,92.5
22:00:00,21,18,85,0,NE,90.4
23:00:00,19,18,89,0,N,88.4
