time,temp,dew_point,humidity,wind_speed,wind_direction,grains
00:00:00,22,16,65,8,SW,80.2
01:00:00,22,15,65,10,SE,77.5
02:00:00,22,15,64,11,SE,79.0
03:00:00,21,14,69,10,SE,76.8
04:00:00,21,15,70,14,SE,78.0
05:00:00,20,14,71,11,SE,76.4
06:00:00,20,14,69,11,SE,74.3
07:00:00,20,14,69,11,SE,74.3
08:00:00,21,15,67,13,SE,77.3
09:00:00,23,14,59,14,SE,75.3
10:00:00,24,16,57,16,SE,80.6
11:00:00,26,16,53,16,SW,82.8
12:00:00,27,16,50,16,SW,83.4
13:00:00,26,17,56,14,SW,87.6
14:00:00,25,18,63,18,SW,92.3
15:00:00,26,17,57,16,SW,86.2
16:00:00,24,16,60,18,SW,84.9
17:00:00,24,14,56,21,SW,76.4
18:00:00,23,14,56,18,W,73.8
19:00:00,22,13,56,16,NW,68.9
20:00:00,21,13,58,11,W,66.6
21:00:00,19,13,67,6,SW,67.0
22:00:00,17,13,75,5,NW,67.5
23:00:00,17,13,78,6,NW,67.8
