time,temp,dew_point,humidity,wind_speed,wind_direction,grains
00:00:00,16,10,70,6,NE,59.3
01:00:00,16,12,77,3,SE,65.3
02:00:00,14,11,81,2,NE,64.0
03:00:00,14,12,85,2,NE,64.8
04:00:00,13,11,84,3,S,61.7
05:00:00,13,11,84,5,NW,61.7
06:00:00,13,11,85,3,NW,62.4
07:00:00,14,12,85,8,NW,64.8
08:00:00,16,12,74,6,NW,65.1
09:00:00,19,11,59,5,NW,61.8
10:00:00,22,10,46,8,NW,59.2
11:00:00,24,8,37,8,SW,52.6
12:00:00,25,8,35,11,SW,53.3
13:00:00,26,10,37,10,SW,60.3
14:00:00,27,8,31,10,NW,52.2
15:00:00,27,8,29,16,NW,50.4
16:00:00,28,4,22,16,NW,39.4
17:00:00,28,6,25,13,W,46.4
18:00:00,27,5,24,13,W,41.6
19:00:00,26,5,26,11,NW,42.2
20:00:00,24,5,29,11,NW,42.6
21:00:00,23,7,35,8,NW,46.5
22:00:00,23,6,32,8,NW,43.9
23:00:00,22,7,39,8,NW,48.4
