time,temp,dew_point,humidity,wind_speed,wind_direction,grains
00:00:00,14,12,83,8,NE,59.9
01:00:00,14,12,85,8,NW,59.2
02:00:00,14,12,86,8,NE,59.9
03:00:00,14,12,87,8,NE,60.6
04:00:00,13,12,89,8,NE,59.8
05:00:00,13,12,91,8,NE,61.1
06:00:00,13,12,92,8,NE,59.6
07:00:00,13,12,94,8,NE,63.2
08:00:00,14,13,94,8,NE,65.5
09:00:00,15,13,91,10,NE,68.2
10:00:00,16,14,89,10,NE,71.6
11:00:00,17,15,86,10,NE,74.3
12:00:00,18,14,82,11,NE,73.4
13:00:00,18,14,79,11,NE,73.2
14:00:00,19,14,73,11,NE,72.5
15:00:00,20,14,70,13,NE,72.0
16:00:00,19,14,72,14,NE,69.1
17:00:00,19,13,71,16,NE,68.1
18:00:00,19,14,70,18,NE,69.5
19:00:00,19,14,72,14,NE,69.1
20:00:00,17,12,72,14,NE,62.1
21:00:00,16,11,73,14,NE,58.6
22:00:00,14,10,75,14,NE,54.0
23:00:00,13,9,78,13,NE,52.2
