time,temp,dew_point,humidity,wind_speed,wind_direction,grains
00:00:00,19,9,54,2,NW,51.6
01:00:00,18,10,58,2,SE,53.6
02:00:00,18,11,62,3,NE,55.3
03:00:00,17,11,67,3,NE,55.7
04:00:00,17,11,68,0,NW,56.5
05:00:00,17,11,68,2,N,56.5
06:00:00,17,11,69,2,NW,57.4
07:00:00,16,12,77,2,N,61.8
08:00:00,17,12,69,2,N,59.4
09:00:00,19,12,63,2,NE,60.2
10:00:00,21,13,59,5,NE,64.7
11:00:00,22,12,54,8,SW,63.3
12:00:00,23,12,51,5,SE,61.8
13:00:00,23,11,48,11,SE,58.1
14:00:00,22,11,50,10,SE,58.5
15:00:00,22,12,52,13,SE,60.9
16:00:00,23,12,50,10,SE,60.6
17:00:00,23,11,48,10,SE,58.1
18:00:00,23,12,52,6,SE,63.0
19:00:00,23,12,51,5,SE,61.8
20:00:00,21,13,59,6,SW,64.6
21:00:00,20,13,63,2,SW,64.4
22:00:00,19,13,69,2,NW,65.8
23:00:00,18,12,71,0,NE,63.0
