track,date,local_time,weather,temp,track_temp,humidity,air_pressure,wind_speed,wind_direction
albert-park,2007-03-18,14:00:00,sunny,21,40,52,1020,1.5,west
albert-park,2008-03-16,15:30:00,sunny,36,49,11,1014,3.5,north
albert-park,2009-03-29,17:00:00,sunny,21,27,65,1020,5,south
albert-park,2010-03-28,17:00:00,"cloudy, occasional rain",26,23,41,1008,2,west
albert-park,2011-03-27,17:00:00,slightly cloudy,17,20,61,1025,4,south
albert-park,2012-03-18,17:00:00,sunny,22,26,45,1022,5,south
albert-park,2013-03-17,17:00:00,cloudy,17,19,50,1022,4,south
albert-park,2014-03-16,17:00:00,cloudy,18,26,46,1006,8,west
albert-park,2015-03-15,17:00:00,slightly cloudy,18,34,60,1015,6,south
albert-park,2016-03-20,16:00:00,slightly cloudy,22,31,46,1018,4,southern
albert-park,2017-03-26,16:00:00,slightly cloudy,24,34,69,1010,2,northwest
albert-park,2018-03-25,16:10:00,slightly cloudy,24,36,31,996,4,northeast
albert-park,2019-03-17,16:10:00,sunny,23,40,70,1015,1.5,northwest
sepang,2007-04-08,15:00:00,sunny,34,52,59,1005,1.5,south
sepang,2008-03-23,15:00:00,sunny,30,42,70,1003,3,south
sepang,2009-04-05,17:00:00,"sunny, then rain",27,32,86,1006,5,turning
sepang,2010-04-04,16:00:00,cloudy,29,40,63,1004,3,south
sepang,2011-04-10,16:00:00,"cloudy, occasional drizzle",28,30,84,1005,1.5,turning
sepang,2012-03-25,16:00:00,"cloudy, rain",26,26,84,1004,2,northeast
sepang,2013-03-24,16:00:00,"rain at the beginning, slightly cloudy",24,30,70,1002,2,north
sepang,2014-03-30,16:00:00,slightly cloudy,32,48,62,1002,2.5,north
sepang,2015-03-29,15:00:00,sunny,32,56,50,1004,2,turning south
sepang,2016-10-02,15:00:00,sunny,33,49,54,1002,2.8,west
sepang,2017-10-01,15:00:00,cloudy,30,36,68,1003,1.6,turning
sepang,2018,null,null,null,null,null,null,null,null
sepang,2019,null,null,null,null,null,null,null,null
sachir,2007-04-15,14:30:00,"sun, windy",30,38,25,1015,3,north
sachir,2008-04-06,14:30:00,sunny,28,36,22,1012,5,north
sachir,2009-04-26,15:00:00,sunny,36,49,18,1005,4,east
sachir,2010-03-14,15:00:00,sunny,35,44,5,1012,2,north
sachir,2011,null,null,null,null,null,null,null,null
sachir,2012-04-22,15:00:00,sunny,32,27,32,1007,4.1,turning
sachir,2013-04-21,15:00:00,sunny,31,40,44,1002,8,north
sachir,2014-04-06,18:00:00,clear,24,28,40,1018,2.6,south
sachir,2015-04-19,18:00:00,sunny / clear,25,30,36,1012,1.5,north
sachir,2016-04-03,18:00:00,friendly,22,28,43,1016,2,southwest
sachir,2017-04-16,18:00:00,sunny,23,28,65,1009,6.5,north
sachir,2018-04-08,18:10:00,sunny / clear,28,32,48,1009,1,south
sachir,2019-03-31,18:10:00,cloudy,26,29,55,1003,4,northeast
catalunya,2007-05-13,14:00:00,sunny,28,46,40,998,2,south
catalunya,2008-04-27,14:00:00,sunny,23,37,35,1008,2,turning
catalunya,2009-05-10,14:00:00,slightly cloudy,24,42,54,1000,2,southeast
catalunya,2010-05-09,14:00:00,sunny,20,36,47,993,5,southwest
catalunya,2011-05-22,14:00:00,sunny,26,39,31,1006,1.5,southeast
catalunya,2012-05-13,14:00:00,friendly,22,34,58,1004,3,southwest
catalunya,2013-05-12,14:00:00,dry,20,37,48,1005,2.8,southeast
catalunya,2014-05-11,14:00:00,sunny,22,36,52,1003,4.0,west
catalunya,2015-05-10,14:00:00,sunny,25,44,44,1010,1.8,northeast
catalunya,2016-05-15,14:00:00,slightly cloudy,21,40,56,1003,2,north
catalunya,2017-05-14,14:00:00,sunny,24,44,42,1009,1.5,southeast
catalunya,2018-05-13,15:10:00,cloudy,16,32,51,1001,2,turning south
catalunya,2019-05-12,15:10:00,slightly cloudy,20,40,56,1006,1.5,south
de-monaco,2007-05-27,14:00:00,"dry, cloudy",26,34,53,1002,1,turning
de-monaco,2008-05-25,14:00:00,rain,21,20,76,1015,2,northeast
de-monaco,2009-05-24,14:00:00,sunny,26,43,58,1020,1.5,east
de-monaco,2010-05-16,14:00:00,sunny,22,36,42,1009,1,southeast
de-monaco,2011-05-29,14:00:00,sunny,24,45,47,1018,1.5,east
de-monaco,2012-05-27,14:00:00,"cloudy, drizzle towards the end",21,33,63,1016,1.5,east
de-monaco,2013-05-26,14:00:00,sunny,19,40,36,1012,2,east
de-monaco,2014-05-25,14:00:00,cloudy,20,29,47,1016,2,southwest
de-monaco,2015-05-24,14:00:00,slightly cloudy,18,34,64,1014,1.5,west
de-monaco,2016-05-29,14:00:00,rainy,18,21,88,1008,2,north
de-monaco,2017-05-28,14:00:00,sunny,26,53,34,1020,1,north
de-monaco,2018-05-27,15:10:00,very cloudy,26,34,50,1015,1,turning
de-monaco,2019-05-26,15:10:00,cloudy,23,32,53,1011,1.0,turning
montreal,2007-06-10,13:00:00,sunny,28,52,40,1016,2,east
montreal,2008-06-08,13:00:00,slightly cloudy,27,37,64,1005,7,west
montreal,2009,null,null,null,null,null,null,null,null
montreal,2010-06-13,12:00:00,slightly cloudy,26,38,42,1011,3,northeast
montreal,2011-06-12,13:00:00,rain,18,16,88,1007,5,south
montreal,2012-06-10,14:00:00,sunny,28,42,26,1016,2,southwest
montreal,2013-06-09,14:00:00,dry,24,30,35,1016,6.5,north
montreal,2014-06-08,14:00:00,sunny,28,44,33,1010,1.4,northwest
montreal,2015-06-07,14:00:00,sunny,20,39,30,1016,4,north
montreal,2016-06-12,14:00:00,cloudy,12,22,57,1004,2.5,southeast
montreal,2017-06-11,14:00:00,sunny,28,43,44,1006,2.5,southeast
montreal,2018-06-10,14:10:00,slightly cloudy,20,37,28,1017,4,south
montreal,2019-06-09,14:10:00,sunny,29,51,14,1022,1.5,changing
indianapolis,2007-06-17,13:00:00,sunny,36,51,33,992,1.5,west
indianapolis,2008,null,null,null,null,null,null,null,null
indianapolis,2009,null,null,null,null,null,null,null,null
indianapolis,2010,null,null,null,null,null,null,null,null
indianapolis,2011,null,null,null,null,null,null,null,null
indianapolis,2012-11-18,13:00:00,sunny,24,32,29,1004,5,south
indianapolis,2013-11-17,13:00:00,sunny,31,36,56,991,2.5,south
indianapolis,2014-11-02,14:00:00,sunny,23,32,42,1003,6,south
indianapolis,2015-10-25,14:00:00,very cloudy,17,18,89,997,8,south
indianapolis,2016-10-23,14:00:00,slightly cloudy,27,34,42,1000,3.5,north
indianapolis,2017-10-22,14:00:00,slightly cloudy,24,34,48,1001,3,east
indianapolis,2018-10-21,13:10:00,sunny,20,28,40,1006,2.0,east
indianapolis,2019-11-03,13:10:00,sunny,22,28,30,1001,3,turning
austin,2007-06-17,13:00:00,sunny,36,51,33,992,1.5,west
